model,metric,n_seeds,mean,std,min,max,ci_lo,ci_hi,seeds_used,values
NN (onehot),affinity_cv_mean,5,0.9342,0.0013851895177195166,0.9327499999999999,0.9355,0.9327499999999999,0.9355,"42,123,456,789,2024",0.934500;0.935500;0.932750;0.935500;0.932750
NN (onehot),affinity_mcc_mean,5,0.8611767304455125,0.002762858432764738,0.8583658125661575,0.8646283748112416,0.8583795771423938,0.8644716257326931,"42,123,456,789,2024",0.861325;0.864628;0.858366;0.863061;0.858503
NN (onehot),specificity_auc_mean,5,0.97712175,0.00020331788918461383,0.976851875,0.9773624999999999,0.97687175,0.9773544999999999,"42,123,456,789,2024",0.977061;0.977283;0.977362;0.976852;0.977051
NN (onehot),specificity_cv_mean,5,0.9282499999999999,0.0017320508075688147,0.9265000000000001,0.9305,0.9265000000000001,0.93035,"42,123,456,789,2024",0.926500;0.929000;0.926500;0.930500;0.928750
NN (onehot),specificity_mcc_mean,5,0.8568079868649585,0.0033976883320956624,0.85335281306652,0.8611853686757609,0.8533539906982595,0.8608882264966427,"42,123,456,789,2024",0.853353;0.858214;0.853365;0.861185;0.857923
Pareto/ISO,true_pareto_count,5,15.0,0.0,15.0,15.0,15.0,15.0,"42,123,456,789,2024",15.000000;15.000000;15.000000;15.000000;15.000000
Pareto/IgG,true_pareto_count,5,5.0,0.0,5.0,5.0,5.0,5.0,"42,123,456,789,2024",5.000000;5.000000;5.000000;5.000000;5.000000
TopHoldout/lda_aff_mcc,lda_aff_mcc_mean,5,0.6978682557290758,0.0,0.6978682557290758,0.6978682557290758,0.6978682557290758,0.6978682557290758,"42,123,456,789,2024",0.697868;0.697868;0.697868;0.697868;0.697868
TopHoldout/lda_affinity_acc,lda_affinity_acc_mean,5,0.8951290335956255,0.0,0.8951290335956255,0.8951290335956255,0.8951290335956255,0.8951290335956255,"42,123,456,789,2024",0.895129;0.895129;0.895129;0.895129;0.895129
TopHoldout/lda_esm2_aff_mcc,lda_esm2_aff_mcc_mean,5,0.5834648296073448,0.0,0.5834648296073448,0.5834648296073448,0.5834648296073448,0.5834648296073448,"42,123,456,789,2024",0.583465;0.583465;0.583465;0.583465;0.583465
TopHoldout/lda_esm2_affinity_acc,lda_esm2_affinity_acc_mean,5,0.826199352259399,0.0,0.826199352259399,0.826199352259399,0.826199352259399,0.826199352259399,"42,123,456,789,2024",0.826199;0.826199;0.826199;0.826199;0.826199
TopHoldout/lda_esm2_spec_mcc,lda_esm2_spec_mcc_mean,5,0.5117300684778774,0.0,0.5117300684778774,0.5117300684778774,0.5117300684778774,0.5117300684778774,"42,123,456,789,2024",0.511730;0.511730;0.511730;0.511730;0.511730
TopHoldout/lda_esm2_specificity_acc,lda_esm2_specificity_acc_mean,5,0.7879858837830989,0.0,0.7879858837830989,0.7879858837830989,0.7879858837830989,0.7879858837830989,"42,123,456,789,2024",0.787986;0.787986;0.787986;0.787986;0.787986
